Monumenti di competenza di Roma Capitale;
Anno 2011;
;
Denominazione;Indirizzo
Strutture fluviali presso Ponte Milvio;Banchina sul Tevere
Edificio presso il Passetto di Borgo;Borgo Pio, 62  
Tempio di Claudio;Celio Municipio I Rione XIX
Torre della Moletta al Circo Massino;Circo Massino
Resti di edificio in Chiesa di s. Francesca Romana;Clivo di Venere Felice
Monumento a Cola di Rienzo;Cordonata del Campidoglio (Area verde a sinistra)
Ponte Flaminio;Corso Francia
Torretta di Ponte Milvio;Corso Francia
Palazzo Sora;Corso Vittorio Emanuele II
Casa romana sotto il Museo Barracco;Corso Vittorio Emanuele II, 166/a
Auditorium di Mecenate;Largo Leopardi (via Merulana) Municipio I 
Acquedotto Claudio e Aniene Nuovo;Da Valle Aniene a Tivoli
Forte Braschi;Forte Braschi
Forte Portuense;Forte Portuense
Ponte Cestio;Isola Tiberina
Ponte Fabricio;Isola Tiberina
Torre Caetani e parte del convento di S. Bartolomeo all’Isola Tiberina;Isola Tiberina
Sede Polizia Fluviale;Isola Tiberina
Guglia di S. Bartolomeo all’Isola;Isola Tiberina, 22
Monumento ai Caduti di tutte le guerre di Monteverde Vecchio;Largo A. Oriani
Villino Centurini, edificio scolastico A. Oriani;Largo A.Oriani, 1
L’Angelo di Fatima;Largo Agosta
Fontana sarcofago nel cortile della scuola Nino Bixio;Largo Alfredo Oriani
Monumento ai Caduti del Quartiere Giancolense;Largo Alfredo Oriani
Fontanella in Largo Angelicum;Largo Angelicum
Fontana a vasca poligonale in Largo Bernardino Cirillo;Largo Bernardino Cirillo
Monumento ai valori della Resistenza;Largo Bompiani
Fontana l.go Capelvenere;Largo Capelvenere
Fontana l.go Cesidio da Fossa;Largo Cesidio da Fossa
Colonna granito l.go Cesidio da Fossa;Largo Cesidio da Fossa
Fontanella in Largo Corrado Ricci;Largo Corrado Ricci
Fontana del Quadrifoglio;Largo de Mutilati e Invalidi
Fontana in Largo della Costituente;Largo della Costituente
Fontana contemporanea in Largo della Giustiniana;Largo della Giustiniana
Arco di Dolabella e Silano;Largo della Sanità Militare/via San Paolo della Croce
Monumento contemporaneo alla Resistenza;Largo delle Sette Chiese
Fontana delle Palle di Cannone;Largo di porta Castello
Torre del Papito ( affidata a Motta);Largo di Torre Argentina
Fontana a muro nell’Area Sacra dell’Argentina;Largo di Torre Argentina
Monumento a Don Orione;Largo Don Orione
Sepolcro di largo Talamo;Largo Eduardo Talamo
Monumento ai Caduti 1915-1918 del quartiere Pinciano;Largo Federico Fellini
Monumento ai caduti in Largo Gelsomini;Largo Gelsomini
Fontane (2) a muro Largo Giovanni;Largo Giovanni XXIII
Auditorium di Mecenate;Largo Leopardi
Fontana del Bufalo;Largo Nazareno
Sepolcro di largo Preneste;Largo Preneste, all’interno di un piccolo giardino pubblico
Scuola Oberdan ( ex Villa Baldini);Largo Ravizza
Fontana dei Delfini;Largo Ravizza
Monumento contemporaneo ‘Giano nel cuore di Roma’;Largo Santa Susanna
Abate Luigi;Largo Vidoni
Cisterna di largo Zucchi;Largo Zucchi
Lapide Monumentale ai Caduti della 1° guerra mondiale;Lunghezza
Strutture di L.tevere Aventino;Lungo Tevere Aventino, 7
Porticus Aemilia;Lungo Tevere Testaccio, 32 (Scuola C. Cattaneo)
Sede del Municipio XIII;Lungomare P. Toscanelli, 137
Monumento ad Antonio Varisco;Lungotevere Arnaldo da Brescia
Monumento a Giacomo Matteotti;Lungotevere Arnaldo da Brescia 
Deposito di pezzi architettonici degli sventramenti;Lungotevere Aventino
Insula dell'Aventino;Lungotevere Aventino, 7
Ponte Mazzini;Lungotevere dei Tebaldi
Monumento ai Caduti dell’Arma del Genio;Lungotevere della Vittoria
Fontana dell’Ara Pacis;Lungotevere in Augusta
Fontana a Lungotevere Testaccio;Lungotevere Testaccio
Fontana Teatro Apollo/Tor di Nona;Lungotevere Tor di Nona
Teatro India;Lungotevere Vittorio Gassman, 1
Fontana di Paolo V;Monte di Pietà
Monumento Caduti Ostia Antica;Ostia Antica
Mausoleo (resti);P.le di Ponte Milvio
Acquedotti /Marcia - Tepula - Iulia;Parco Acquedotti
Villa delle Vignacce;Parco degli Acquedotti, via Lemonia
Resti antichi sotto l'Ufficio Culturale Egiziano;Parco del Monte Oppio
Terme di Traiano;Parco del Monte Oppio
Parco della Caffarella;Parco della Caffarella
Ruderi antichi sotto il Casale della Perna;Parco di Decima/Malafede
Resti antichi nel Parco di s. Gregorio (cisterna);Parco di S. Gregorio al Celio
Cisterna nel parco di Tor Tre Teste;Parco di Tor Tre Teste
Ipogeo funerario;Parco di Villa Glori
Sepolcro dei Veienti;Parco Papacci
Casali di Parco Scott;Parco Scott
Fontana Quercia Tasso;Passeggiata del Gianicolo
Fontane Passeggiata Gianicolo (2);Passeggiata del Gianicolo
Monumento Righetto;Passeggiata del Gianicolo
Monumento a Walter Rossi;Piazza  W. Rossi
Monumento a Giorgio Scandemberg;Piazza Albania
Fontana sarcofago in piazza Ambaradan;Piazza Ambaradan
Monumento a S. Annibale Maria di Francia;Piazza Asti
Mausoleo e piazza di Augusto Imperatore;Piazza Augusto Imperatore
Mausoleo di Augusto;Piazza Augusto Imperatore
Fontana del Tritone;Piazza Barberini
Fontana delle Api;Piazza Barberini
Teatro dell’Opera;Piazza Beniamino Gigli
Fontana dei Tritoni;Piazza Bocca della Verità
Fontane contemporanee nel giardino di piazza Bologna;Piazza Bologna
Stele a Falcone, Borsellino e magistrati vittime della mafia;Piazza Bologna
Monumento a Federico Seismit Doda;Piazza Cairoli
Fontana in piazza Cairoli;Piazza Cairoli
Monumento a Camillo Cavour;Piazza Camillo Cavour
Fontana in piazza Campitelli;Piazza Campitelli
